team_name,season,wins,losses,pts_per_game,fg_pct,three_pt_pct,ft_pct,rebounds_per_game,assists_per_game,steals_per_game,blocks_per_game,turnovers_per_game,total_payroll,avg_hype,playstyle
Dayton Dynamos,2,75,7,130.4,0.455,0.35,0.76,39.3,42.0,11.6,7.5,12.1,132.6,3.56,Run & Gun
Savannah Spartans,2,48,34,73.6,0.479,0.281,0.768,36.8,27.8,13.1,8.0,8.4,68.0,2.31,3PT Barrage
Tulsa Thunderbirds,2,30,52,133.8,0.47,0.285,0.695,35.3,32.5,10.5,6.3,16.7,132.9,3.62,Run & Gun
Spokane Stallions,2,39,43,73.8,0.484,0.263,0.727,38.5,27.4,13.6,8.2,8.2,54.4,2.06,3PT Barrage
Knoxville Knights,2,51,31,115.1,0.461,0.294,0.754,29.2,35.1,9.8,4.7,10.6,118.4,3.38,Balanced
Amarillo Aces,2,56,26,57.5,0.438,0.276,0.797,31.2,21.9,10.3,6.6,6.6,52.4,2.0,Lockdown
Chattanooga Chiefs,2,71,11,115.6,0.476,0.336,0.778,27.6,35.6,9.9,4.4,11.6,105.0,3.38,Inside Attack
Provo Pioneers,2,53,29,120.4,0.448,0.296,0.719,29.1,27.6,9.6,4.9,13.4,121.4,3.5,Inside Attack
Bakersfield Bobcats,2,9,73,132.0,0.428,0.302,0.717,35.1,28.9,11.0,5.7,17.7,118.4,3.56,Run & Gun
Rockford Raptors,2,53,29,110.3,0.453,0.368,0.737,23.8,29.5,7.8,3.7,11.1,104.1,3.12,Balanced
Laredo Lobos,2,36,46,130.0,0.459,0.292,0.741,35.9,27.1,10.2,6.1,14.6,102.9,3.0,Run & Gun
Springfield Sentinels,2,35,47,126.1,0.438,0.3,0.724,32.9,35.6,11.6,5.3,13.6,112.2,3.38,Run & Gun
Duluth Drifters,2,27,55,77.3,0.426,0.317,0.777,25.8,23.6,9.2,4.1,10.4,78.8,2.69,Lockdown
Augusta Admirals,2,29,53,101.5,0.46,0.287,0.796,22.4,23.1,7.9,3.4,13.6,130.0,3.56,Lockdown
Peoria Panthers,2,60,22,74.1,0.459,0.239,0.759,36.3,26.0,12.4,7.9,8.2,65.3,2.25,Inside Attack
Norfolk Navigators,2,54,28,93.4,0.439,0.346,0.748,27.5,29.7,9.3,4.5,10.3,81.3,2.75,Balanced
Salem Sabers,2,27,55,115.1,0.469,0.29,0.742,31.0,28.0,11.1,5.5,12.8,95.9,3.06,3PT Barrage
Waco Warriors,2,54,28,103.1,0.478,0.314,0.776,24.2,22.9,7.8,3.8,11.2,123.9,3.38,Lockdown
Topeka Titans,2,69,13,87.0,0.468,0.266,0.754,43.3,31.3,12.8,8.3,9.6,52.3,2.12,Run & Gun
Flint Falcons,2,16,66,93.5,0.452,0.261,0.747,36.1,20.7,10.6,7.2,13.4,59.3,2.12,3PT Barrage
Odessa Outlaws,2,58,24,105.4,0.471,0.313,0.741,28.0,26.4,8.8,4.7,10.0,119.0,3.62,Lockdown
Trenton Trailblazers,2,58,24,122.2,0.439,0.366,0.731,28.2,35.3,10.7,4.6,12.7,137.2,3.69,Balanced
Fresno Firehawks,3,27,55,104.6,0.444,0.336,0.757,21.2,22.2,7.4,3.2,12.8,119.5,3.56,Lockdown
Tacoma Tridents,3,75,7,80.4,0.472,0.324,0.77,38.8,28.7,12.8,7.7,8.2,77.4,2.69,3PT Barrage
Reno Rattlers,3,36,46,108.6,0.423,0.338,0.737,29.1,27.7,9.3,4.5,12.5,115.8,3.31,3PT Barrage
Boise Bighorns,3,49,33,126.6,0.468,0.307,0.824,32.3,26.8,10.1,5.3,13.9,109.0,3.5,3PT Barrage
Wichita Wolfpack,3,32,50,99.9,0.452,0.343,0.726,27.2,31.2,8.5,4.2,9.6,93.5,2.81,Inside Attack
Mobile Mariners,3,36,46,125.1,0.433,0.315,0.736,33.5,37.3,11.7,5.6,13.9,112.4,3.25,Run & Gun
Albany Aviators,3,66,16,113.0,0.455,0.323,0.776,32.3,32.8,11.8,6.1,13.7,108.9,3.12,3PT Barrage
Lubbock Lancers,3,60,22,89.9,0.472,0.277,0.751,45.6,29.9,13.9,9.4,9.7,70.6,2.56,Run & Gun
Dayton Dynamos,3,23,59,143.7,0.458,0.305,0.772,36.6,29.9,10.9,6.6,17.4,124.4,3.56,Run & Gun
Savannah Spartans,3,25,57,94.3,0.457,0.307,0.719,29.6,25.3,11.0,5.2,12.6,81.0,2.62,Inside Attack
Tulsa Thunderbirds,3,45,37,71.2,0.451,0.245,0.736,35.6,22.8,11.5,7.0,9.4,59.4,2.38,Inside Attack
Spokane Stallions,3,16,66,109.7,0.437,0.283,0.743,28.3,25.7,8.7,4.6,16.4,97.3,3.19,Balanced
Knoxville Knights,3,59,23,113.7,0.451,0.336,0.763,31.0,31.3,10.4,4.7,12.9,123.0,3.75,Inside Attack
Amarillo Aces,3,28,54,90.0,0.429,0.329,0.775,27.0,26.0,10.1,4.0,12.2,72.2,2.5,Balanced
Chattanooga Chiefs,3,51,31,70.0,0.468,0.288,0.804,37.0,29.5,12.8,8.1,8.5,70.1,2.38,3PT Barrage
Provo Pioneers,3,39,43,98.0,0.446,0.352,0.781,30.9,24.5,9.6,5.2,12.2,76.0,2.62,Inside Attack
Bakersfield Bobcats,3,59,23,108.0,0.457,0.333,0.781,28.9,31.3,9.9,4.5,12.4,99.5,3.06,3PT Barrage
Rockford Raptors,3,71,11,120.4,0.465,0.34,0.765,28.6,37.3,10.3,4.0,11.1,102.7,3.12,Run & Gun
Laredo Lobos,3,55,27,77.2,0.462,0.289,0.741,37.1,26.1,12.9,8.2,9.7,79.6,2.69,Balanced
Springfield Sentinels,3,18,64,107.9,0.46,0.294,0.747,29.0,27.1,8.5,4.8,13.0,113.9,3.38,Inside Attack
Duluth Drifters,3,36,46,100.8,0.458,0.327,0.731,24.5,30.5,8.7,3.7,11.0,89.3,2.88,Inside Attack
Augusta Admirals,3,44,38,102.6,0.472,0.288,0.772,32.9,26.2,9.4,5.5,12.6,82.7,2.88,Balanced
Peoria Panthers,3,23,59,95.2,0.427,0.293,0.737,30.4,26.5,8.6,4.9,13.8,105.0,3.06,3PT Barrage
Norfolk Navigators,3,35,47,81.5,0.445,0.325,0.784,26.3,22.3,8.9,4.8,10.1,94.2,2.94,Lockdown
Salem Sabers,3,27,55,107.3,0.456,0.339,0.747,24.8,32.8,8.8,3.3,11.7,97.4,2.94,Inside Attack
Waco Warriors,3,42,40,115.0,0.447,0.314,0.807,31.4,32.3,10.8,5.4,14.1,118.0,3.44,3PT Barrage
Topeka Titans,3,36,46,81.7,0.43,0.332,0.718,24.7,22.4,8.7,4.4,10.4,73.0,2.56,Lockdown
Flint Falcons,3,46,36,115.0,0.456,0.345,0.736,25.7,33.1,8.6,4.1,12.5,106.2,3.38,Balanced
Odessa Outlaws,3,42,40,99.1,0.45,0.324,0.73,30.9,23.5,10.2,5.1,12.7,81.3,2.75,Balanced
Trenton Trailblazers,3,29,53,77.8,0.465,0.245,0.728,35.3,22.7,12.3,7.1,11.3,61.3,2.31,3PT Barrage
